BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
rare,solid polyester blend boat neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",Westernwear,1699.0,55.0,764.0
and,solid polyester square neck womens flared dress - sage,"Size:10,12,14,16,18",Westernwear,2699.0,20.0,2159.0
life,solid cotton blend round neck womens t-shirt - natural,"Size:Large,Medium,X-Large,X-Small",Westernwear,899.0,50.0,449.0
kraus,wide leg fit ankle length cotton womens jeans - blue,"Size:28,30,32",Westernwear,1695.0,10.0,1525.0
life,printed jersey round neck womens t-shirt - red,"Size:Large,Medium,Small,X-Small",Westernwear,699.0,50.0,349.0
fratini,sanya malhotra regular fit regular length cotton linen womens culottes - olive,"Size:26,28,30,32,34,36",Westernwear,2008.5116138398257,50.0,1299.0
fratini,solid square neck polyester womens woven top - natural,"Size:Large,Medium,X-Large,XX-Large",Westernwear,999.0,50.0,499.0
fratini,solid v-neck tencel womens a-line dress - light blue,"Size:Large,Small",Westernwear,1699.0,50.0,849.0
zink london,printed cotton round neck womens t-shirt - brown,Size:X-Large,Westernwear,1299.0,69.0,399.0
life,regular fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32",Westernwear,999.0,50.0,499.0
zink london,textured polyester round neck womens straight top - natural,"Size:Large,Small,X-Small",Westernwear,1399.0,40.0,839.0
allen solly,printed stylized polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large",Westernwear,2499.0,40.0,1499.0
stop,solid polyester regular neck womens top - sage,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1299.0,50.0,649.0
only,lace cotton collar neck womens top - red,"Size:34,36,38,40,42",Westernwear,2499.0,40.0,1499.0
fratini,regular fit regular length cotton blend womens jeans - white,"Size:28,30,32,34,36",Westernwear,1299.0,50.0,649.0
fratini,printed square neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1699.0,50.0,849.0
van heusen,solid polyester v neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,41.0,999.0
only,self design viscose square neck womens top - white,"Size:34,36,38,40,42",Westernwear,2299.0,40.0,1379.0
life,printed blended round neck womens shift dress - navy,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,50.0,749.0
zink london,solid collar neck polyester womens casual shirt - green,"Size:Medium,Small,XX-Large",Westernwear,1699.0,50.0,849.0
life,printed cotton lycra round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
faballey,embroidered cotton square neck womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2600.0,20.0,2080.0
life,printed cotton blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
infuse,floral rayon v neck womens strappy dress - pista green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1499.0,50.0,749.0
kraus,baggy fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34",Westernwear,1595.0,30.0,1116.0
life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
fratini,solid polyester blend round neck womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1899.0,50.0,949.0
madame,solid polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1699.0,30.0,1189.0
kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"Size:28,30,32,34,36,38",Westernwear,1895.0,50.0,947.0
kraus,skinny fit full length cotton blend womens jeans - navy,"Size:28,30,32,36",Westernwear,1895.0,50.0,947.0
stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,899.0,50.0,449.0
life,regular fit regular length denim womens jeans - pink,"Size:26,28,30,32,34,36",Westernwear,1999.0,50.0,999.0
zink london,printed cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Small,XX-Large",Westernwear,2899.0,40.0,1739.0
life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",Westernwear,999.0,50.0,499.0
stop,solid regular neck cotton blend womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,899.0,50.0,449.0
altlife,solid polyester blend ankle length womens tights - misty lilac,"Size:28,30,32,34,36",Westernwear,1299.0,50.0,649.0
life,solid cotton wide neck womens a-line dress - powder blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,50.0,849.0
allen solly,printed v-neck viscose womens fit and flare dress - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2499.0,40.0,1499.0
stop,solid regular fit polyester womens formal pants - black,"Size:28,30,34,36",Westernwear,1699.0,50.0,849.0
and,solid polyester v neck womens regular dress - wine,"Size:8,18",Westernwear,2899.0,20.0,2319.0
rare,floral polyester off shoulder womens regular top - blue,"Size:Large,Small",Westernwear,999.0,50.0,499.0
zink london,stripes cotton round neck womens straight top - multi,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1399.0,50.0,699.0
life,fit above knee denim womens casual skirt - black,"Size:26,28,30,32,34,36",Westernwear,1299.0,50.0,649.0
fratini,printed polyester round neck womens a-line dress - yellow,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",Westernwear,1999.0,50.0,999.0
rare,floral polyester round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",Westernwear,1999.0,55.0,899.0
